Reference,Comparison,Metric,N,MeanDiff_cmp_minus_ref,EffectSize_d,Wilcoxon_p_two_sided
PGF-Net,PGF-Net Concatenation,MSE,5,0.03515116401875865,1.4523865440951653,0.0625
PGF-Net,PGF-Net Concatenation,MAE,5,0.03060368604403846,1.101748639831849,0.0625
PGF-Net,PGF-Net Concatenation,PLE,5,1.6674644327731358,0.6420069591022121,0.1875
PGF-Net,PGF-Net Concatenation,Ramp_MAE,5,0.012555503258149681,0.5222625113131052,0.8125
PGF-Net,PGF-Net Fixed 0.5,MSE,5,0.04115382363278343,1.3025764775060504,0.0625
PGF-Net,PGF-Net Fixed 0.5,MAE,5,0.03918245981696485,1.1187958076146696,0.0625
PGF-Net,PGF-Net Fixed 0.5,PLE,5,1.8963344158202076,0.6823582959281708,0.3125
PGF-Net,PGF-Net Fixed 0.5,Ramp_MAE,5,0.023780754833186833,0.8638387510347362,0.0625
PGF-Net,PGF-Net Scalar Fusion,MSE,5,0.038670908554768034,1.1403382047188277,0.0625
PGF-Net,PGF-Net Scalar Fusion,MAE,5,0.03482292518712612,0.893226292822262,0.125
PGF-Net,PGF-Net Scalar Fusion,PLE,5,2.541621048118465,1.4880902413723431,0.0625
PGF-Net,PGF-Net Scalar Fusion,Ramp_MAE,5,0.023322269314793143,0.8388259056434237,0.0625
PGF-Net,PGF-Net w/o LSTM,MSE,5,0.11492140013974476,6.101331373670277,0.0625
PGF-Net,PGF-Net w/o LSTM,MAE,5,0.11511427806292014,5.527124942612118,0.0625
PGF-Net,PGF-Net w/o LSTM,PLE,5,8.760842478291753,5.226623836678854,0.0625
PGF-Net,PGF-Net w/o LSTM,Ramp_MAE,5,0.031203436576042833,1.5947566405739628,0.0625
PGF-Net,PGF-Net w/o PosEnc,MSE,5,0.02059821508280889,0.6563704646348951,0.125
PGF-Net,PGF-Net w/o PosEnc,MAE,5,0.021838239414325146,0.6486241083683527,0.125
PGF-Net,PGF-Net w/o PosEnc,PLE,5,0.33506752276339996,0.24494623103387161,1.0
PGF-Net,PGF-Net w/o PosEnc,Ramp_MAE,5,0.014233481998523256,0.621883824754761,0.125
PGF-Net,PGF-Net w/o Time Embedding,MSE,5,0.08726252254951314,2.362288528313293,0.0625
PGF-Net,PGF-Net w/o Time Embedding,MAE,5,0.08697405223594332,2.252327388899118,0.0625
PGF-Net,PGF-Net w/o Time Embedding,PLE,5,7.940238006606687,7.511140477722554,0.0625
PGF-Net,PGF-Net w/o Time Embedding,Ramp_MAE,5,-0.0011726866383022783,-0.048251401668703106,0.625
PGF-Net,PGF-Net w/o Transformer,MSE,5,0.028055058103688513,1.375854794092247,0.0625
PGF-Net,PGF-Net w/o Transformer,MAE,5,0.025643528782871648,1.0403591742715643,0.0625
PGF-Net,PGF-Net w/o Transformer,PLE,5,1.2986679854474346,1.8240382286085357,0.0625
PGF-Net,PGF-Net w/o Transformer,Ramp_MAE,5,0.01095200803573323,0.4862956278080184,0.625
