MSE,RMSE,MAE,sMAPE,PLE,Ramp_MAE,Model,Seed,Params,TrainingTime_s,Inference_ms_per_batch
0.34353456188281,0.5861182149385993,0.4177438397190306,46.52257236873293,34.14061863882638,0.3789642723931749,PGF-Net,0,20920,279.0734188000001,31.106199999976525
0.3986844250170248,0.6314146221121465,0.481814104124028,57.37734121883207,35.00597431440306,0.4286085078641096,PGF-Net,42,20920,68.8699674999998,35.53810000012163
0.3976991357061588,0.630633915759499,0.4828093642330224,55.59227510211007,34.4073975715448,0.4260689803489461,PGF-Net,123,20920,73.55848719999995,36.85483999997814
0.4069411123255028,0.6379193619302543,0.4884594628186489,56.31957419189714,35.70764321540022,0.4326386026672779,PGF-Net,456,20920,70.43778139999995,35.11876000002303
0.3919285628857539,0.6260419817278662,0.4762434663869824,55.167622151773855,33.561132460210466,0.4195401062052447,PGF-Net,789,20920,58.75374019999981,35.20736000009492
0.419780371455545,0.6479046005821729,0.4968554552122979,57.504410702310416,36.49300006429965,0.4322866099055341,PGF-Net Concatenation,0,19608,15.41169330000048,5.53139999974519
0.4262055646267158,0.6528442116054303,0.5048885325147502,56.93316216706877,37.1004167669283,0.4282459812774742,PGF-Net Concatenation,42,19608,22.46075870000095,12.515459999849554
0.4098633679088789,0.6402057231147492,0.4936425784538077,56.782760827767966,34.77957444247238,0.4247371540529472,PGF-Net Concatenation,123,19608,23.99450810000053,4.821720000109053
0.4393770535053631,0.6628552281647654,0.5139752098340769,57.78623614819153,33.957017160438,0.428398280877546,PGF-Net Concatenation,456,19608,17.425773099999788,3.1166199998551747
0.4193172604145407,0.6475471105753934,0.4907268914869719,57.094649952357045,38.83007993011228,0.434929959656,PGF-Net Concatenation,789,19608,6.840456999998423,2.3760799995216075
0.4365636672443945,0.6607296476202612,0.517153572103401,56.759075416037575,35.378802869050894,0.4511565327895493,PGF-Net Fixed 0.5,0,18840,41.83835100000033,8.72607999954198
0.4186776522937828,0.6470530521477994,0.4978047537359975,55.808148876417526,37.00806997954109,0.4425389383242537,PGF-Net Fixed 0.5,42,18840,32.93224129999908,6.578679999438464
0.4260942531093997,0.6527589548289627,0.5056747372136778,55.41486253910794,37.90222032201833,0.4379105479679252,PGF-Net Fixed 0.5,123,18840,26.09587959999953,7.826059999933932
0.4228387765246433,0.6502605451083767,0.5058787244620239,56.26197819443601,33.38318077747235,0.4362597739592113,PGF-Net Fixed 0.5,456,18840,26.162823200000275,6.905059999917285
0.4403825668089471,0.6636132659983126,0.5164707488514364,57.66023261655913,38.6321643314033,0.4368584506037478,PGF-Net Fixed 0.5,789,18840,36.47839960000056,7.251780000297003
0.4359822808407454,0.6602895431859764,0.5166605627140628,56.78195072969149,35.31047108375396,0.4508986945560322,PGF-Net Scalar Fusion,0,18841,38.862567399999534,8.974619999935385
0.4184953612592534,0.6469121743013138,0.4976409981721168,55.830860801136495,36.94882481555028,0.4425064733814569,PGF-Net Scalar Fusion,42,18841,27.918707599999838,7.721479999963776
0.425886410719992,0.6525997323934419,0.5054584987397746,55.41065513099062,37.88132831490049,0.4377103066298688,PGF-Net Scalar Fusion,123,18841,18.50829700000031,4.704220000712667
0.4116698976968789,0.6416150697239575,0.485367714327086,57.04370191291419,36.76584576404095,0.4342886728985898,PGF-Net Scalar Fusion,456,18841,14.70052989999931,5.482440000560018
0.4401083900742207,0.6634066551325972,0.5160570892643027,57.68729934210589,38.62440146273157,0.4370276685867711,PGF-Net Scalar Fusion,789,18841,13.34549220000008,6.816060000346624
0.4801713753747187,0.6929439915135412,0.5595759204462455,60.69279865045068,44.559155500359125,0.4449230985464122,PGF-Net w/o LSTM,0,10392,2.345969799998784,1.244100000258186
0.5094624801324775,0.7137664044577032,0.5918444408769632,63.25442231230865,43.169614281884485,0.4493711510864752,PGF-Net w/o LSTM,42,10392,2.2957587000000785,1.2018200006423283
0.5182742280488807,0.7199126530690239,0.6017451701136526,64.05557172422046,42.72309031236994,0.4472927849865625,PGF-Net w/o LSTM,123,10392,2.2859889999999723,0.8629400002973853
0.4925198558444001,0.701797588941712,0.572724218116781,61.37409646376886,42.19276477934155,0.4591311322324247,PGF-Net w/o LSTM,456,10392,2.3464263000005303,1.2959599996975155
0.5129668591154971,0.7162170474901426,0.5967518780426707,63.76999699644797,43.98235371788859,0.4411194855070927,PGF-Net w/o LSTM,789,10392,3.447792499999196,1.099380000232486
0.4190176054515905,0.647315692264285,0.4983569827523135,56.91907294187574,36.78590568253855,0.4335974099502688,PGF-Net w/o PosEnc,0,20920,6.762403800001266,2.282299999205861
0.4033342053719009,0.6350859826605378,0.4882206255855089,57.21230330649244,35.2916487495848,0.427750029329947,PGF-Net w/o PosEnc,42,20920,6.270773299998837,2.231980000215117
0.3962538939295715,0.6294870085470958,0.4806736051947657,55.21969830716691,33.91713230117638,0.4280999199105464,PGF-Net w/o PosEnc,123,20920,5.8401341999997385,2.1431000008306
0.4144012711120451,0.6437400648647288,0.4943152882108283,56.56474751351117,35.79068996883766,0.4397233663679638,PGF-Net w/o PosEnc,456,20920,5.8243998999987525,2.4920399999246
0.4087718973661867,0.6393527174933932,0.4946949326099216,55.71598158161587,32.712727112064535,0.4278171539126434,PGF-Net w/o PosEnc,789,20920,6.457284199999776,2.0131400004174798
0.4923454623150295,0.7016733302007634,0.570304252180317,60.696208852156765,42.64602914238965,0.4185713751712859,PGF-Net w/o Time Embedding,0,19992,6.4198555999992095,2.083879999554483
0.4751120970741126,0.6892837565720757,0.5524188382955936,59.00027680173362,41.441006608853534,0.4229286970846445,PGF-Net w/o Time Embedding,42,19992,5.853999400000248,2.018779999707476
0.45942381814853,0.6778080983202621,0.5402447833593618,57.771545518542034,42.395677780126505,0.4107508643427753,PGF-Net w/o Time Embedding,123,19992,5.561706800001048,2.810080000199377
0.4645348559508973,0.6815679393508011,0.5527713636449868,59.54801389590789,43.23222614893272,0.4095747949604677,PGF-Net w/o Time Embedding,456,19992,5.661182900001222,3.0032199993002
0.4836841770762465,0.6954740664296883,0.5662012609811697,60.20866451725506,42.80901655311595,0.4181313047280683,PGF-Net w/o Time Embedding,789,19992,6.284821999999622,3.349079999679816
0.4052689938771956,0.6366074095368319,0.4842506505239184,56.44257664241346,36.09639091792365,0.4290294562021213,PGF-Net w/o Transformer,0,10296,4.492874499999743,2.09906000054616
0.4217404999056652,0.6494155063637341,0.5023571688885141,55.88856135935922,36.70005839857564,0.4240266696153935,PGF-Net w/o Transformer,42,10296,4.859173299999384,1.570219999848632
0.405487658139164,0.636779128221995,0.4879491856161518,56.77955903850624,35.4706751182406,0.4285132544454373,PGF-Net w/o Transformer,123,10296,4.34094019999975,1.06314000004204
0.4254155628910835,0.652238884835214,0.4965337662228651,55.82536681364174,37.32239414618333,0.4300658122945736,PGF-Net w/o Transformer,456,10296,4.95999810000103,2.3249800000485266
0.4211503735225845,0.6489609953784469,0.5041971099446211,56.64774807171285,33.72658754669888,0.4289453170998936,PGF-Net w/o Transformer,789,10296,4.514267499998823,1.5497399999730987
